Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Afghanistan,1978,7,14,1978,7,16,120,"264,044","7,500","52,000,000","173,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Afghanistan,1991,2,6,1991,2,17,415,108400,,"60,000,000","96,774,194",EM-DAT,,,,,
Afghanistan,1992,9,31,1992,9,31,450,4000,,"4,000,000","6,250,000",EM-DAT,,,,,
Afghanistan,2005,6,15,2005,7,21,39,,,"50,000,000","55,555,556",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Afghanistan,2009,3,25,2009,5,24,39,60016,,"20,000,000","20,408,163",EM-DAT,,,,,
Afghanistan,1988,6,13,1988,6,28,,,,"260,000,000","481,481,481",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Albania,1992,11,17,1992,11,19,11,35000,,"7,000,000","10,937,500",EM-DAT,,,,,
Albania,2002,9,21,2002,10,10,1,66884,,"17,500,000","21,341,463",EM-DAT,,,,,
Albania,2004,12,4,2004,12,8,0,2500,,"173,000","198,851",EM-DAT,,,,,
Algeria,1965,1,1,1965,1,1,57,"20,000","15,900","10,000,000","71,428,571",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Algeria,1966,10,6,1966,10,6,57,"35,912",,"10,000,000","66,666,667",EM-DAT,,,,,
Algeria,1966,11,,,,,20,"30,000","30,000","3,000,000","20,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Algeria,1967,11,,1967,11,,20,"30,000",,"3,000,000","20,000,000",EM-DAT,,,,,
Algeria,1969,9,28,1969,10,7,76,"200,000",0,"10,000,000","58,823,529",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Algeria,1973,3,,1973,4,10,21,"85,000","61,000","10,000,000","50,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Algeria,1974,3,31,1974,3,31,11,20000,,"30,000,000","130,434,783",EM-DAT,,,,,
Algeria,1992,1,21,1992,1,29,21,2258,,"900,000","1,406,250",EM-DAT,,,,,
Algeria,2002,8,17,2002,8,28,29,2301,,"1,500,000","1,829,268",EM-DAT,,,,,
Algeria,2005,6,18,2005,6,20,1,1750,,"7,256,000","8,062,222",EM-DAT,,,,,
Algeria,2006,2,10,2006,2,15,1,60000,,"1,200,000","1,304,348",EM-DAT,,,,,
Algeria,2007,4,13,2007,4,15,22,0,,"13,561,000","14,274,737",EM-DAT,,,,,
