Country,Begin,,,End,,,Damage (USD),Adjusted Damage (USD),reference
,year,month,day,year,month,day,,,
Canada,1961,summer,,1961,,,668000000,"4,771,428,571",http://www.ec.gc.ca/meteo-weather/default.asp?lang=En&n=6a4a3ac5-1; 1960-1980
Iran,1962,9,1,1962,,,30000000,"214,285,714",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
China P Rep,1965,3,,1965,4,,27118000,"193,700,000",EM-DAT
India,1965,,,1966,1,1,100000000,"666,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Uganda,1967,,,1967,1,1,200000,"1,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Tanzania,1967,,,1967,5,18,200000,"1,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Australia,1967,,,1969,,,600000000,"3,529,411,765",EM-DAT
Botswana,1968,6,,1968,,,1000000,"6,250,000",EM-DAT
Haiti,1968,,,1968,1,1,1000000,"6,250,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Janaica,1968,,,1968,1,1,500000,"3,125,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Lesotho,1968,,,1968,6,1,1000000,"6,250,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Dominican,1968,,,1968,8,1,5000000,"31,250,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Gambia,1968,,,1968,11,1,500000,"3,125,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Peru,1968,,,1969,5,1,10000000,"58,823,529",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Chile,1968,8,,1972,,,55000000,"289,473,684",EM-DAT
Afghanisan,1969,1,1,1969,1,,200000,"1,176,471","Misdaq,N.(2006),Afghanistan: Political Frailty and External Interference.Oxon;New York:Routledge,85."
Burkina Faso,1969,4,,1969,8,7,200000,"1,176,471",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Senegal,1969,,,1969,1,1,5000000,"29,411,765",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Niger,1969,,,1969,5,1,5000000,"29,411,765",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Mali,1969,,,1969,5,29,5000000,"29,411,765",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Mali,1969,,,1969,6,14,1000000,"5,882,353",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Somalia,1969,,,1969,9,4,500000,"2,941,176",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Ethiopia,1969,,,1969,9,12,1000000,"5,882,353",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Chad,1969,,,1969,10,7,100000,"588,235",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Jordan,1969,,,1970,1,1,1500000,"8,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Burkina Faso,1969,,,1971,1,1,3000000,"15,789,474",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Iraq,1969,,,1971,1,1,2000000,"10,526,316",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Mali,1969,,,1971,1,1,1500000,"7,894,737",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Mauritania,1969,,,1971,1,1,1500000,"7,894,737",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Niger,1969,,,1971,1,1,200000,"1,052,632",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Senegal,1969,,,1971,1,1,1500000,"7,894,737",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Burkina Faso,1969,,,1972,1,1,2500000,"13,157,895",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Mauritania,1969,,,1972,1,1,1500000,"7,894,737",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Niger,1969,,,1972,1,1,500000,"2,631,579",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Niger,1969,,,1973,4,3,94000000,"470,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Mali,1969,,,1973,4,9,106000000,"530,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Chad,1969,,,1973,4,25,83000000,"415,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Burkina Faso,1969,,,1973,5,1,700000000,"3,500,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Mauritania,1969,,,1973,5,7,34000000,"170,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Senegal,1969,,,1973,5,8,74800000,"374,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Brazil,1970,,,1970,8,7,100000,"555,556",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Ghana,1971,1,,1971,,,100000,"526,316",EMDAT
Morocco,1971,1,,1971,,,100000,"526,316",EMDAT
Togo,1971,1,,1971,,,500000,"2,631,579",EMDAT
Cameroon,1971,,,1971,1,1,1500000,"7,894,737",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Gambia,1971,,,1971,1,1,200000,"1,052,632",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Kenya,1971,,,1971,1,1,1500000,"7,894,737",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Afghanisan,1971,8,7,1973,,,30000000,"150,000,000",EMDAT
India,1972,,,1973,1,1,100000000,"500,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Nepal,1972,,,1973,1,1,10000000,"50,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Indonedia,1972,,,1973,4,9,70000000,"350,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Honduras,1972,,,1973,4,27,7000000,"35,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
India,1972,,,1973,,,100000000,"500,000,000",EMDAT
Ethiopia,1973,12,,1978,,,76000000,"253,333,333",EMDAT
Senegal,1977,,,1978,3,14,300000000,"1,000,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
Canada,1977,1,,1980,,,3000000000,"7,894,736,842",EMDAT
Indonedia,1978,,,1978,4,27,1200000,"4,000,000",EMDAT
Brazil,1978,,,1978,,,2300000000,"7,666,666,667",EMDAT
Mauritania,1978,,,1979,4,7,25500000,"77,272,727",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
India,1979,,,1979,,,200000000,"606,060,606",EMDAT
USA,1980,6,11,1980,11,30,"10,000,000,000","26,315,789,474",U.S.GOV
Spain,1980,,,1983,,,1500000000,"3,260,869,565",EMDAT
Spain,1981,,,1981,,,1460000000,"3,476,190,476",EMDAT
Australia,1981,,,1982,,,6000000000,"13,636,363,636",EMDAT
Australia,1982,,,1983,,,7420000000,"16,130,434,783",http://www.australia.gov.au/about-australia/australian-story/natural-disasters
Zimbabwe,1982,10,,1984,,,1000000,"2,083,333",EMDAT
Bolivia,1983,2,,1983,6,,"48,400,000","105,217,391",http://pdf.usaid.gov/pdf_docs/pbaab204.pdf
Portugal,1983,4,,1983,,,95000000,"206,521,739",EMDAT
United States,1983,6,1,1983,8,31,"3,000,000,000","6,521,739,130",U.S.GOV
Peru,1983,,,1983,6,3,151800000,"330,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
